,Unnamed: 0,ano,data_eleicao,id_municipio,nome_urna,sigla_partido,idade,genero,raca,Resultado,nome_candidato,votos
0,0,2024,2024-10-06,2611606,Abel Filho,MOBILIZA,55,masculino,parda,Não foi eleito,Abel Filho,54.0
1,1,2024,2024-10-06,2611606,Adalice De Adilson Bito,PRD,30,feminino,preta,Não foi eleito,Adalice De Adilson Bito,144.0
2,2,2024,2024-10-06,2611606,Adeilda Barros,REDE,65,feminino,parda,Não foi eleito,Adeilda Barros,448.0
3,3,2024,2024-10-06,2611606,Adelmo Sto Amaro,AVANTE,40,masculino,preta,Não foi eleito,Adelmo Sto Amaro,479.0
4,4,2024,2024-10-06,2611606,Aderaldo Pinto,PSB,59,masculino,branca,Eleito,Aderaldo Pinto,15793.0
5,5,2024,2024-10-06,2611606,Aderbal Pontes,MOBILIZA,59,masculino,branca,Não foi eleito,Aderbal Pontes,33.0
6,6,2024,2024-10-06,2611606,Adri Uchoa,AVANTE,51,feminino,parda,Não foi eleito,Adri Uchoa,51.0
7,7,2024,2024-10-06,2611606,Adriana Vigilante,NOVO,50,feminino,parda,Não foi eleito,Adriana Vigilante,113.0
8,8,2024,2024-10-06,2611606,Adriano Bombeiro,DC,47,masculino,branca,Não foi eleito,Adriano Bombeiro,45.0
9,9,2024,2024-10-06,2611606,Adriano Planeta De Deus,AVANTE,40,masculino,parda,Não foi eleito,Adriano Planeta De Deus,1564.0
10,10,2024,2024-10-06,2611606,Aecio Kibiriba,MOBILIZA,60,masculino,branca,Não foi eleito,,
11,11,2024,2024-10-06,2611606,Afonso Que Faz,MDB,59,masculino,parda,Não foi eleito,Afonso Que Faz,466.0
12,12,2024,2024-10-06,2611606,Agenor Da Água,CIDADANIA,53,masculino,branca,Não foi eleito,Agenor Da Água,106.0
13,13,2024,2024-10-06,2611606,Agora É Rubem,PSB,42,masculino,preta,Não foi eleito,Agora É Rubem,12240.0
14,14,2024,2024-10-06,2611606,Aidé Batista,PL,64,feminino,branca,Não foi eleito,Aidé Batista,91.0
15,15,2024,2024-10-06,2611606,Ailce Moreira,PSOL,38,feminino,preta,Não foi eleito,Ailce Moreira,1144.0
16,16,2024,2024-10-06,2611606,Alan Kardec,PT,60,masculino,preta,Não foi eleito,Alan Kardec,344.0
17,17,2024,2024-10-06,2611606,Alcides Cardoso,PL,55,masculino,branca,Não foi eleito,Alcides Cardoso,5189.0
18,18,2024,2024-10-06,2611606,Alcides Teixeira Neto,AVANTE,51,masculino,parda,Eleito,Alcides Teixeira Neto,8909.0
19,19,2024,2024-10-06,2611606,Aldi Cabral,PSD,56,feminino,preta,Não foi eleito,Aldi Cabral,250.0
20,20,2024,2024-10-06,2611606,Alef Collins,PP,22,masculino,parda,Eleito,Alef Collins,7131.0
21,21,2024,2024-10-06,2611606,Alexandre Carvalho,NOVO,69,masculino,branca,Não foi eleito,Alexandre Carvalho,187.0
22,22,2024,2024-10-06,2611606,Alexsandra Lima,MDB,45,feminino,parda,Não foi eleito,Alexsandra Lima,332.0
23,23,2024,2024-10-06,2611606,Aline Mariano,PSB,49,feminino,branca,Não foi eleito,Aline Mariano,8031.0
24,24,2024,2024-10-06,2611606,Almir De Biriba,AVANTE,52,masculino,parda,Não foi eleito,Almir De Biriba,187.0
25,25,2024,2024-10-06,2611606,Almir Fernando,PSB,58,masculino,branca,Não foi eleito,Almir Fernando,8722.0
26,26,2024,2024-10-06,2611606,Alonso Ferreira,PV,55,masculino,preta,Não foi eleito,Alonso Ferreira,234.0
27,27,2024,2024-10-06,2611606,Altair Ferreira,PRD,48,masculino,branca,Não foi eleito,Altair Ferreira,1223.0
28,28,2024,2024-10-06,2611606,Altamiza Da Favela,PC do B,41,feminino,preta,Não foi eleito,Altamiza Da Favela,530.0
29,29,2024,2024-10-06,2611606,Anastacia De Sá,PSD,28,feminino,parda,Não foi eleito,Anastacia De Sá,92.0
30,30,2024,2024-10-06,2611606,Andre Regis,PSD,57,masculino,branca,Não foi eleito,Andre Regis,3983.0
31,31,2024,2024-10-06,2611606,Andre Serralheiro Filho,NOVO,43,masculino,parda,Não foi eleito,Andre Serralheiro Filho,1139.0
32,32,2024,2024-10-06,2611606,Andreina Bianka,AVANTE,24,feminino,parda,Não foi eleito,,
33,33,2024,2024-10-06,2611606,Andreza Romero,PSB,29,feminino,branca,Não foi eleito,Andreza Romero,15785.0
34,34,2024,2024-10-06,2611606,Andreza Salvador,PSD,35,feminino,preta,Não foi eleito,Andreza Salvador,132.0
35,35,2024,2024-10-06,2611606,André Campos,PT,66,masculino,branca,Não foi eleito,André Campos,4017.0
36,36,2024,2024-10-06,2611606,Andréa Costa,PSD,56,feminino,branca,Não foi eleito,,
37,37,2024,2024-10-06,2611606,Ane Ebrahim,PSD,50,feminino,branca,Não foi eleito,Ane Ebrahim,181.0
38,38,2024,2024-10-06,2611606,Anna Paula Coletivo Enfermagem,MOBILIZA,57,feminino,branca,Não foi eleito,Anna Paula Coletivo Enfermagem,333.0
39,39,2024,2024-10-06,2611606,Anna Viana,PRD,60,feminino,parda,Não foi eleito,Anna Viana,25.0
40,40,2024,2024-10-06,2611606,Antonio Luiz Neto,PSD,68,masculino,branca,Não foi eleito,Antonio Luiz Neto,5314.0
41,41,2024,2024-10-06,2611606,Arnaldo Monteiro,AVANTE,65,masculino,preta,Não foi eleito,Arnaldo Monteiro,504.0
42,42,2024,2024-10-06,2611606,Aurineque Filho,SOLIDARIEDADE,25,masculino,parda,Não foi eleito,Aurineque Filho,86.0
43,43,2024,2024-10-06,2611606,Badizinho,MDB,35,masculino,parda,Não foi eleito,Badizinho,2599.0
44,44,2024,2024-10-06,2611606,Becinha,NOVO,37,masculino,branca,Não foi eleito,Becinha,1507.0
45,45,2024,2024-10-06,2611606,Belo Belo,PRD,52,masculino,branca,Não foi eleito,Belo Belo,1780.0
46,46,2024,2024-10-06,2611606,Belo Belo Da Bomba,CIDADANIA,53,masculino,parda,Não foi eleito,Belo Belo Da Bomba,63.0
47,47,2024,2024-10-06,2611606,Benjamim Da Saúde,DC,50,masculino,branca,Não foi eleito,Benjamim Da Saúde,6382.0
48,48,2024,2024-10-06,2611606,Bergue Junior,MDB,36,masculino,parda,Não foi eleito,Bergue Junior,3841.0
49,49,2024,2024-10-06,2611606,Beto Gás,DC,50,masculino,branca,Não foi eleito,Beto Gás,335.0
50,50,2024,2024-10-06,2611606,Bira Da Universo,PSD,60,masculino,parda,Não foi eleito,Bira Da Universo,786.0
51,51,2024,2024-10-06,2611606,Bispa Jacimara,MDB,58,feminino,branca,Não foi eleito,Bispa Jacimara,1046.0
52,52,2024,2024-10-06,2611606,Bolinha,PP,51,masculino,parda,Não foi eleito,Bolinha,332.0
53,53,2024,2024-10-06,2611606,Bombom,MDB,27,feminino,preta,Não foi eleito,Bombom,45.0
54,54,2024,2024-10-06,2611606,Branca Durvanice,CIDADANIA,54,feminino,branca,Não foi eleito,Branca Durvanice,29.0
55,55,2024,2024-10-06,2611606,Bruna Karina,MDB,32,feminino,parda,Não foi eleito,,
56,56,2024,2024-10-06,2611606,Bruna Paes Barreto,REPUBLICANOS,32,feminino,branca,Não foi eleito,Bruna Paes Barreto,121.0
57,57,2024,2024-10-06,2611606,Brunessa Sedutora,PSB,28,feminino,parda,Não foi eleito,Brunessa Sedutora,347.0
58,58,2024,2024-10-06,2611606,Bruno Oliveira,PP,30,masculino,parda,Não foi eleito,,
59,59,2024,2024-10-06,2611606,Bruno Pantoja,REDE,48,masculino,branca,Não foi eleito,Bruno Pantoja,320.0
60,60,2024,2024-10-06,2611606,Cabo Aenia,PL,44,feminino,parda,Não foi eleito,Cabo Aenia,2205.0
61,61,2024,2024-10-06,2611606,Cabo Samuel,AVANTE,59,masculino,preta,Não foi eleito,,
62,62,2024,2024-10-06,2611606,Caio Eduardo,PL,59,masculino,branca,Não foi eleito,Caio Eduardo,108.0
63,63,2024,2024-10-06,2611606,Caio Marx,PSTU,22,masculino,preta,Não foi eleito,Caio Marx,95.0
64,64,2024,2024-10-06,2611606,Cal Do Picolé,PRD,31,feminino,parda,Não foi eleito,Cal Do Picolé,318.0
65,65,2024,2024-10-06,2611606,Caliope Monteiro,PL,60,masculino,parda,Não foi eleito,Caliope Monteiro,715.0
66,66,2024,2024-10-06,2611606,Cap Salas,NOVO,61,masculino,branca,Não foi eleito,Cap Salas,286.0
67,67,2024,2024-10-06,2611606,Carla Pinheiro,NOVO,47,feminino,parda,Não foi eleito,Carla Pinheiro,261.0
68,68,2024,2024-10-06,2611606,Carlos Alberto,DC,56,masculino,parda,Não foi eleito,Carlos Alberto,198.0
69,69,2024,2024-10-06,2611606,Carlos Muniz,PSB,58,masculino,branca,Eleito,Carlos Muniz,13400.0
70,70,2024,2024-10-06,2611606,Carlão Da Saúde,MOBILIZA,44,masculino,preta,Não foi eleito,Carlão Da Saúde,32.0
71,71,2024,2024-10-06,2611606,Carmem De Areias,PL,53,feminino,preta,Não foi eleito,Carmem De Areias,273.0
72,72,2024,2024-10-06,2611606,Carmem Dolores,PSOL,65,feminino,preta,Não foi eleito,Carmem Dolores,1865.0
73,73,2024,2024-10-06,2611606,Carol Vergolino,PSOL,46,feminino,branca,Não foi eleito,Carol Vergolino,4907.0
74,74,2024,2024-10-06,2611606,Cassiano Bezerra,UP,25,masculino,branca,Não foi eleito,Cassiano Bezerra,291.0
75,75,2024,2024-10-06,2611606,Cassio Cavalcante,MOBILIZA,58,masculino,branca,Não foi eleito,Cassio Cavalcante,78.0
76,76,2024,2024-10-06,2611606,Ceará Das Praias,PSDB,45,masculino,branca,Não foi eleito,Ceará Das Praias,124.0
77,77,2024,2024-10-06,2611606,Celso Rodrigues,PSD,59,masculino,parda,Não foi eleito,Celso Rodrigues,87.0
78,78,2024,2024-10-06,2611606,Cenira Da Saúde,AVANTE,47,feminino,branca,Não foi eleito,,
79,79,2024,2024-10-06,2611606,Charles Lucena,PSD,57,masculino,branca,Não foi eleito,Charles Lucena,37.0
80,80,2024,2024-10-06,2611606,Chico Kiko,PSB,59,masculino,branca,Eleito,Chico Kiko,9432.0
81,81,2024,2024-10-06,2611606,China,PSDB,38,masculino,parda,Não foi eleito,,
82,82,2024,2024-10-06,2611606,Cibelle Albuquerque,MDB,42,feminino,preta,Não foi eleito,Cibelle Albuquerque,482.0
83,83,2024,2024-10-06,2611606,Cicero Almeida,PRD,59,masculino,branca,Não foi eleito,Cicero Almeida,1055.0
84,84,2024,2024-10-06,2611606,Cicero Carlos,CIDADANIA,52,masculino,parda,Não foi eleito,Cicero Carlos,63.0
85,85,2024,2024-10-06,2611606,Cida Pedrosa,PC do B,61,feminino,branca,Eleito,Cida Pedrosa,11364.0
86,86,2024,2024-10-06,2611606,Cintia Costa,PP,42,feminino,parda,Não foi eleito,Cintia Costa,37.0
