zona,secao,sigla_partido,votos_legenda,votos_nominais
150,379,AVANTE,0,16
150,311,AVANTE,0,1
149,100,AVANTE,0,1
1,229,AVANTE,0,8
7,197,AVANTE,0,3
149,306,AVANTE,0,1
5,458,AVANTE,0,2
4,350,AVANTE,0,9
6,65,AVANTE,0,8
4,7,AVANTE,0,12
7,110,AVANTE,0,10
9,47,AVANTE,0,19
4,213,AVANTE,0,1
150,232,AVANTE,0,13
5,486,AVANTE,0,3
2,433,AVANTE,0,8
6,158,AVANTE,1,5
8,166,AVANTE,0,3
8,173,AVANTE,0,4
8,416,AVANTE,0,7
6,449,AVANTE,0,3
4,368,AVANTE,0,14
3,682,AVANTE,0,8
6,268,AVANTE,0,3
8,403,AVANTE,0,5
5,233,AVANTE,0,3
4,339,AVANTE,0,5
5,39,AVANTE,0,5
9,65,AVANTE,0,8
150,43,AVANTE,1,10
1,221,AVANTE,0,18
149,379,AVANTE,0,5
4,367,AVANTE,0,12
8,7,AVANTE,0,5
150,153,AVANTE,0,6
149,335,AVANTE,0,7
6,263,AVANTE,0,3
7,337,AVANTE,0,10
150,155,AVANTE,0,5
2,390,AVANTE,1,16
6,69,AVANTE,0,4
149,199,AVANTE,0,2
2,438,AVANTE,0,6
8,14,AVANTE,0,2
6,117,AVANTE,0,6
3,39,AVANTE,0,5
149,299,AVANTE,0,8
3,738,AVANTE,0,26
150,301,AVANTE,1,6
1,269,AVANTE,0,4
149,348,AVANTE,1,8
9,200,AVANTE,0,13
9,465,AVANTE,0,13
9,394,AVANTE,0,8
150,208,AVANTE,0,3
6,367,AVANTE,0,6
4,219,AVANTE,1,7
7,302,AVANTE,0,5
1,132,AVANTE,0,12
9,519,AVANTE,0,6
5,175,AVANTE,0,13
6,149,AVANTE,0,4
4,210,AVANTE,1,47
1,39,AVANTE,0,2
6,401,AVANTE,0,5
7,325,AVANTE,0,13
1,421,AVANTE,0,2
8,284,AVANTE,0,11
150,94,AVANTE,0,7
7,112,AVANTE,0,3
2,541,AVANTE,0,6
149,372,AVANTE,0,2
7,331,AVANTE,0,6
4,9,AVANTE,1,7
5,446,AVANTE,0,4
6,360,AVANTE,0,3
2,448,AVANTE,0,1
9,380,AVANTE,0,8
1,433,AVANTE,0,1
149,36,AVANTE,0,4
7,357,AVANTE,0,4
9,236,AVANTE,0,28
8,61,AVANTE,0,3
3,655,AVANTE,0,8
149,440,AVANTE,0,4
8,90,AVANTE,0,3
3,692,AVANTE,0,5
9,444,AVANTE,1,10
2,371,AVANTE,0,3
2,33,AVANTE,0,4
7,246,AVANTE,0,2
8,270,AVANTE,0,6
2,460,AVANTE,1,18
150,356,AVANTE,0,4
6,328,AVANTE,0,5
2,459,AVANTE,0,18
1,223,AVANTE,0,6
7,287,AVANTE,0,5
4,373,AVANTE,0,6
150,93,AVANTE,0,8
150,262,AVANTE,0,10
9,437,AVANTE,0,4
8,59,AVANTE,1,9
4,245,AVANTE,0,9
8,336,AVANTE,0,4
7,26,AVANTE,0,6
150,157,AVANTE,0,4
2,55,AVANTE,1,5
4,338,AVANTE,0,10
8,389,AVANTE,0,12
9,399,AVANTE,1,7
6,392,AVANTE,0,3
149,398,AVANTE,0,7
6,470,AVANTE,0,3
3,590,AVANTE,0,6
1,144,AVANTE,0,7
1,352,AVANTE,0,8
9,422,AVANTE,0,8
5,211,AVANTE,0,9
2,82,AVANTE,0,4
5,460,AVANTE,0,6
149,31,AVANTE,0,3
9,350,AVANTE,0,6
149,259,AVANTE,0,5
4,332,AVANTE,0,11
3,235,AVANTE,1,9
2,404,AVANTE,0,19
1,334,AVANTE,1,7
7,301,AVANTE,0,13
3,778,AVANTE,0,8
1,120,AVANTE,0,2
1,93,AVANTE,0,2
2,377,AVANTE,0,8
9,518,AVANTE,0,7
150,185,AVANTE,0,1
9,366,AVANTE,0,14
6,412,AVANTE,0,7
7,209,AVANTE,0,7
149,69,AVANTE,0,3
150,253,AVANTE,0,6
7,48,AVANTE,0,7
149,295,AVANTE,0,5
150,13,AVANTE,1,11
4,282,AVANTE,0,8
1,340,AVANTE,0,3
8,167,AVANTE,0,4
7,363,AVANTE,0,6
9,453,AVANTE,0,14
6,437,AVANTE,0,5
8,402,AVANTE,0,12
2,102,AVANTE,0,3
6,215,AVANTE,0,9
1,297,AVANTE,0,3
3,315,AVANTE,0,13
4,105,AVANTE,0,23
3,638,AVANTE,0,15
150,314,AVANTE,0,2
3,460,AVANTE,0,39
3,599,AVANTE,0,4
4,310,AVANTE,0,9
5,66,AVANTE,0,5
2,450,AVANTE,0,6
8,279,AVANTE,0,10
2,35,AVANTE,0,9
2,422,AVANTE,0,4
9,469,AVANTE,0,5
4,333,AVANTE,0,11
9,404,AVANTE,1,14
9,365,AVANTE,1,6
8,194,AVANTE,1,8
7,352,AVANTE,0,13
4,229,AVANTE,0,11
6,424,AVANTE,0,9
2,491,AVANTE,0,18
9,369,AVANTE,0,14
5,219,AVANTE,0,4
7,218,AVANTE,0,2
9,528,AVANTE,0,9
7,54,AVANTE,0,2
5,210,AVANTE,0,5
7,445,AVANTE,0,6
6,404,AVANTE,1,2
5,132,AVANTE,0,10
150,136,AVANTE,0,6
4,208,AVANTE,0,4
6,361,AVANTE,0,6
4,66,AVANTE,0,43
3,42,AVANTE,0,8
2,504,AVANTE,0,6
2,457,AVANTE,0,17
9,19,AVANTE,0,27
7,378,AVANTE,0,1
4,268,AVANTE,0,5
150,310,AVANTE,0,9
150,329,AVANTE,0,4
3,772,AVANTE,0,9
150,51,AVANTE,0,5
1,370,AVANTE,0,3
6,425,AVANTE,0,8
4,203,AVANTE,1,33
6,422,AVANTE,0,8
3,621,AVANTE,0,5
3,805,AVANTE,0,2
4,233,AVANTE,0,9
2,392,AVANTE,0,16
150,305,AVANTE,0,7
3,686,AVANTE,0,3
149,271,AVANTE,0,1
8,137,AVANTE,0,15
6,369,AVANTE,0,10
7,106,AVANTE,0,1
5,497,AVANTE,1,0
150,97,AVANTE,0,9
2,425,AVANTE,0,7
3,728,AVANTE,0,2
150,170,AVANTE,0,3
5,442,AVANTE,0,3
150,246,AVANTE,0,5
4,231,AVANTE,0,2
4,161,AVANTE,0,10
3,289,AVANTE,0,17
9,8,AVANTE,0,9
8,234,AVANTE,0,8
1,338,AVANTE,0,4
150,95,AVANTE,0,12
8,273,AVANTE,0,7
149,439,AVANTE,0,4
8,79,AVANTE,1,10
4,306,AVANTE,0,13
9,516,AVANTE,0,7
2,337,AVANTE,0,1
8,63,AVANTE,0,5
4,86,AVANTE,0,39
150,348,AVANTE,0,7
6,357,AVANTE,0,4
7,387,AVANTE,0,3
9,504,AVANTE,0,7
1,301,AVANTE,0,20
8,275,AVANTE,1,8
1,354,AVANTE,0,1
2,494,AVANTE,1,10
8,295,AVANTE,0,6
5,413,AVANTE,0,4
3,751,AVANTE,0,9
3,623,AVANTE,0,7
8,232,AVANTE,0,3
5,380,AVANTE,0,3
7,292,AVANTE,0,5
9,60,AVANTE,0,11
6,53,AVANTE,0,10
8,200,AVANTE,0,7
1,238,AVANTE,0,5
5,473,AVANTE,0,3
9,173,AVANTE,0,8
6,124,AVANTE,0,14
1,210,AVANTE,0,3
149,381,AVANTE,0,5
5,511,AVANTE,0,4
149,252,AVANTE,0,5
2,551,AVANTE,0,26
2,475,AVANTE,1,6
1,425,AVANTE,0,4
149,66,AVANTE,0,6
8,52,AVANTE,0,3
8,372,AVANTE,0,13
2,156,AVANTE,0,5
6,31,AVANTE,0,3
4,185,AVANTE,0,42
7,295,AVANTE,0,8
3,695,AVANTE,0,12
150,145,AVANTE,0,8
8,218,AVANTE,0,3
9,466,AVANTE,0,4
4,250,AVANTE,0,14
5,65,AVANTE,0,4
6,273,AVANTE,0,5
3,591,AVANTE,0,7
7,53,AVANTE,0,7
9,234,AVANTE,0,14
3,702,AVANTE,0,7
1,227,AVANTE,0,2
1,252,AVANTE,0,9
5,437,AVANTE,0,3
1,350,AVANTE,0,2
4,85,AVANTE,1,54
1,118,AVANTE,1,5
8,193,AVANTE,0,3
7,322,AVANTE,0,1
6,15,AVANTE,0,4
3,697,AVANTE,0,3
150,278,AVANTE,0,8
2,260,AVANTE,0,4
2,533,AVANTE,0,2
3,647,AVANTE,1,26
7,420,AVANTE,0,22
150,212,AVANTE,0,8
3,44,AVANTE,0,4
5,185,AVANTE,0,8
7,310,AVANTE,0,7
6,427,AVANTE,0,5
4,301,AVANTE,0,5
8,332,AVANTE,0,6
7,6,AVANTE,0,7
3,309,AVANTE,0,11
150,323,AVANTE,0,3
7,266,AVANTE,0,5
149,377,AVANTE,0,6
9,287,AVANTE,0,24
7,261,AVANTE,0,4
8,399,AVANTE,0,5
7,108,AVANTE,0,4
149,48,AVANTE,0,5
149,8,AVANTE,0,6
6,203,AVANTE,0,12
5,184,AVANTE,0,7
1,282,AVANTE,0,3
9,14,AVANTE,1,26
4,221,AVANTE,0,6
3,776,AVANTE,0,7
150,99,AVANTE,0,8
7,374,AVANTE,0,5
4,69,AVANTE,0,52
150,277,AVANTE,0,6
2,72,AVANTE,0,1
8,312,AVANTE,0,13
5,205,AVANTE,0,6
5,372,AVANTE,0,1
2,386,AVANTE,0,5
3,224,AVANTE,0,21
1,345,AVANTE,0,12
8,408,AVANTE,0,6
3,755,AVANTE,0,9
6,378,AVANTE,0,5
4,35,AVANTE,0,3
9,260,AVANTE,0,24
6,270,AVANTE,0,11
2,356,AVANTE,0,8
8,351,AVANTE,0,16
4,259,AVANTE,1,3
3,750,AVANTE,0,6
150,213,AVANTE,0,8
7,23,AVANTE,0,9
150,22,AVANTE,1,16
150,149,AVANTE,0,4
5,443,AVANTE,0,5
149,270,AVANTE,0,5
8,256,AVANTE,2,5
4,67,AVANTE,0,44
3,628,AVANTE,0,4
7,168,AVANTE,0,6
149,362,AVANTE,0,2
6,14,AVANTE,0,7
7,259,AVANTE,1,13
4,102,AVANTE,0,59
5,488,AVANTE,0,5
2,65,AVANTE,0,4
150,88,AVANTE,0,7
9,413,AVANTE,0,13
8,330,AVANTE,0,12
6,115,AVANTE,0,7
6,39,AVANTE,0,5
150,177,AVANTE,0,6
1,245,AVANTE,0,16
7,416,AVANTE,0,7
4,349,AVANTE,1,9
5,493,AVANTE,0,6
8,221,AVANTE,0,15
150,229,AVANTE,0,7
150,124,AVANTE,0,15
149,334,AVANTE,0,5
2,353,AVANTE,0,8
7,323,AVANTE,0,6
2,488,AVANTE,0,8
150,268,AVANTE,0,9
9,176,AVANTE,3,12
7,320,AVANTE,0,12
3,803,AVANTE,0,4
9,20,AVANTE,0,19
4,249,AVANTE,0,15
150,367,AVANTE,0,14
7,49,AVANTE,0,7
7,222,AVANTE,0,4
3,438,AVANTE,1,37
149,119,AVANTE,0,3
150,377,AVANTE,0,7
8,366,AVANTE,0,15
3,674,AVANTE,0,2
2,41,AVANTE,0,3
149,250,AVANTE,0,4
2,375,AVANTE,0,16
149,10,AVANTE,0,2
9,474,AVANTE,0,2
9,188,AVANTE,0,26
6,389,AVANTE,0,4
6,312,AVANTE,0,10
1,445,AVANTE,0,5
3,585,AVANTE,0,5
4,212,AVANTE,0,8
149,103,AVANTE,0,2
150,291,AVANTE,0,5
3,371,AVANTE,0,8
8,333,AVANTE,0,4
3,588,AVANTE,0,4
1,335,AVANTE,0,7
149,373,AVANTE,0,5
150,219,AVANTE,0,14
1,330,AVANTE,0,8
9,515,AVANTE,0,15
2,350,AVANTE,0,1
149,388,AVANTE,0,4
3,646,AVANTE,1,26
2,387,AVANTE,0,21
4,5,AVANTE,0,13
9,534,AVANTE,0,7
4,51,AVANTE,0,2
8,119,AVANTE,0,3
9,167,AVANTE,0,10
8,211,AVANTE,0,6
150,21,AVANTE,1,13
9,391,AVANTE,0,8
149,61,AVANTE,0,3
3,227,AVANTE,0,34
149,409,AVANTE,0,6
9,61,AVANTE,0,8
7,313,AVANTE,0,10
1,314,AVANTE,0,4
5,409,AVANTE,0,5
1,417,AVANTE,0,2
2,523,AVANTE,0,8
150,245,AVANTE,0,10
5,32,AVANTE,0,4
6,226,AVANTE,0,6
1,358,AVANTE,0,8
5,504,AVANTE,0,7
8,245,AVANTE,0,12
3,677,AVANTE,0,7
8,394,AVANTE,0,9
9,12,AVANTE,0,16
6,402,AVANTE,0,7
149,261,AVANTE,0,5
4,77,AVANTE,0,47
149,240,AVANTE,1,2
9,423,AVANTE,0,4
5,12,AVANTE,0,5
5,523,AVANTE,0,1
150,222,AVANTE,0,5
7,274,AVANTE,1,6
149,365,AVANTE,0,5
8,83,AVANTE,0,4
5,52,AVANTE,0,11
149,363,AVANTE,0,5
1,149,AVANTE,0,8
8,280,AVANTE,0,13
8,319,AVANTE,0,4
1,416,AVANTE,0,7
5,514,AVANTE,0,3
9,313,AVANTE,1,16
7,195,AVANTE,0,18
