,local,sigla_partido,EBAIRRNOMEOF,latitude,longitude,RPA,votos
0,ACADEMIA CRISTÃ DE BOA VIAGEM,AVANTE,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,39
1,ACADEMIA CRISTÃ DE BOA VIAGEM,CIDADANIA,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,2
2,ACADEMIA CRISTÃ DE BOA VIAGEM,DC,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,56
3,ACADEMIA CRISTÃ DE BOA VIAGEM,MDB,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,274
4,ACADEMIA CRISTÃ DE BOA VIAGEM,MOBILIZA,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,28
5,ACADEMIA CRISTÃ DE BOA VIAGEM,NOVO,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,212
6,ACADEMIA CRISTÃ DE BOA VIAGEM,PC do B,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,43
7,ACADEMIA CRISTÃ DE BOA VIAGEM,PCO,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,1
8,ACADEMIA CRISTÃ DE BOA VIAGEM,PL,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,530
9,ACADEMIA CRISTÃ DE BOA VIAGEM,PP,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,103
10,ACADEMIA CRISTÃ DE BOA VIAGEM,PRD,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,19
11,ACADEMIA CRISTÃ DE BOA VIAGEM,PSB,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,446
12,ACADEMIA CRISTÃ DE BOA VIAGEM,PSD,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,222
13,ACADEMIA CRISTÃ DE BOA VIAGEM,PSDB,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,2
14,ACADEMIA CRISTÃ DE BOA VIAGEM,PSOL,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,126
15,ACADEMIA CRISTÃ DE BOA VIAGEM,PSTU,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,1
16,ACADEMIA CRISTÃ DE BOA VIAGEM,PT,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,209
17,ACADEMIA CRISTÃ DE BOA VIAGEM,PV,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,54
18,ACADEMIA CRISTÃ DE BOA VIAGEM,REDE,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,52
19,ACADEMIA CRISTÃ DE BOA VIAGEM,REPUBLICANOS,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,190
20,ACADEMIA CRISTÃ DE BOA VIAGEM,SOLIDARIEDADE,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,4
21,ACADEMIA CRISTÃ DE BOA VIAGEM,UP,BOA VIAGEM,-8.12225189,-34.90391936,RPA6,4
22,ACBV -  NINHO EDUCAÇÃO INFANTIL,AVANTE,BOA VIAGEM,0.0,0.0,RPA6,14
23,ACBV -  NINHO EDUCAÇÃO INFANTIL,CIDADANIA,BOA VIAGEM,0.0,0.0,RPA6,2
24,ACBV -  NINHO EDUCAÇÃO INFANTIL,DC,BOA VIAGEM,0.0,0.0,RPA6,11
25,ACBV -  NINHO EDUCAÇÃO INFANTIL,MDB,BOA VIAGEM,0.0,0.0,RPA6,70
26,ACBV -  NINHO EDUCAÇÃO INFANTIL,MOBILIZA,BOA VIAGEM,0.0,0.0,RPA6,2
27,ACBV -  NINHO EDUCAÇÃO INFANTIL,NOVO,BOA VIAGEM,0.0,0.0,RPA6,75
28,ACBV -  NINHO EDUCAÇÃO INFANTIL,PC do B,BOA VIAGEM,0.0,0.0,RPA6,18
29,ACBV -  NINHO EDUCAÇÃO INFANTIL,PL,BOA VIAGEM,0.0,0.0,RPA6,189
30,ACBV -  NINHO EDUCAÇÃO INFANTIL,PP,BOA VIAGEM,0.0,0.0,RPA6,19
